callsign,freq_mhz,city,state,class,erp_kw,lat,lon
K12RF-D,207,"Healy, Etc.",AK,LPT,0.36,63.88483,-148.82956
K13AAE-D,213,Healy,AK,LPT,0.3,63.88481,-148.82953
K13KU-D,213,Delta Junction,AK,LPT,0.34,63.78725,-145.86328
K13OC-D,213,"Douglas, Etc.",AK,LPT,0.325,58.30111,-134.44222
K13RN-D,213,Old Harbor,AK,LPD,0.06,57.20447,-153.30419
K13RR-D,213,Tok,AK,LPD,0.295,63.32417,-142.99889
K13SA-D,213,Port Heiden,AK,LPT,0.059,56.93811,-158.59928
K13SE-D,213,Stony River,AK,LPD,0.055,61.78236,-156.59039
K13SM-D,213,Slana,AK,LPT,0.049,62.70708,-143.97911
K13SV-D,213,Pedro Bay,AK,LPT,0.054,59.78431,-154.12131
K13SY-D,213,Birch Creek,AK,LPD,0.055,66.26239,-145.82061
K13TD-D,213,White Mountain,AK,LPT,0.055,64.68092,-163.41203
K13TE-D,213,Bettles,AK,LPD,0.052,66.90647,-151.68464
K13TJ-D,213,Mountain Village,AK,LPD,0.055,62.08756,-163.72878
K13TN-D,213,Manley Hot Springs,AK,LPD,0.055,64.99728,-150.643
K13TR-D,213,Homer,AK,LPT,0.342,59.45417,-151.67389
K13UO-D,213,Cold Bay,AK,LPD,0.512,55.20606,-162.70756
K13UV-D,213,Napakiak,AK,LPD,0.009,60.69256,-161.96617
K13XD-D,213,Fairbanks,AK,DCA,3.0,64.92194,-147.71778
K15AF-D,479,Petersburg,AK,LPD,0.64,56.81489,-132.95489
K15AP-D,479,Moose Pass,AK,LPT,0.278,60.47578,-149.36656
K15AT-D,479,Kodiak,AK,LPD,0.603,57.79394,-152.39328
K15AU-D,479,Pilot Station,AK,LPD,0.163,61.93922,-162.87847
K17ME-D,491,Bethel,AK,LPD,0.1,60.79175,-161.77508
K17OX-D,491,Seward,AK,LPT,0.85,60.16114,-149.39339
K21AM-D,515,"Ninilchick, Etc.",AK,LPT,1.4,60.01022,-151.71278
K22HN-D,521,Anchorage,AK,LPD,15.0,61.1855,-149.87314
K23OE-D,527,Kasilof,AK,LPD,0.46,60.27556,-151.30886
K24AG-D,533,Trapper Creek,AK,LPD,1.31,62.31753,-150.31892
