callsign,freq_mhz,city,state,class,erp_kw,lat,lon,facility_id
KCHW,102.700000,,,,3.0,48.264167,-117.774444,185084
KCJA,89.500000,,,,0.1,40.748889,-94.618889,172622
KCJZ,105.300000,,,,6.0,35.524444,-121.060833,183345
KCKB,104.100000,,,,25.0,32.541389,-99.057778,198776
KCKD,90.700000,,,,0.62,15.183333,145.735,176102
KCKE,90.300000,,,,32.0,39.781389,-93.302778,173707
KCKJ,89.500000,,,,50.0,37.194444,-93.9275,175649
KCKO,107.900000,,,,1.8,31.394917,-110.923556,171003
KCKP,100.900000,,,,23.5,38.108889,-92.736389,184972
KCKZ,103.500000,,,,50.0,39.469167,-92.326389,184974
KCLZ,95.500000,,,,3.8,34.154444,-116.201111,183327
KCMC-FM,94.300000,,,,8.1,36.325,-91.978056,166081
KCMD,99.300000,,,,0.25,42.488889,-123.306111,185438
KCMZ,105.500000,,,,0.1,30.7,-101.205833,183369
KCNB,94.700000,,,,100.0,42.651417,-102.697028,164168
KCNL,105.900000,,,,0.39,33.57,-114.348889,191555
KCNU,103.900000,,,,0.38,43.006944,-116.703611,198794
KCOT,96.300000,,,,0.3,28.432694,-99.233611,171010
KCPC,88.300000,,,,0.115,38.749444,-120.668333,122735
KCSE,90.700000,,,,4.0,38.036111,-102.599444,175809
KCTZ,90.300000,,,,0.6,36.166306,-121.050194,174362
KCWB,92.100000,,,,100.0,44.497778,-109.153333,190415
KCXX,103.900000,,,,0.35,31.898056,-98.599167,191506
KCYA,97.700000,,,,3.6,42.741111,-106.308611,166055
KCZY,107.300000,,,,6.0,35.685389,-108.145944,190714
KDAI,89.100000,,,,1.4,41.839167,-103.831389,121842
KDAM,94.300000,,,,50.0,42.730278,-97.403278,183348
KDAN,91.500000,,,,0.01,38.150194,-122.861722,176797
KDBN,101.100000,,,,0.425,39.441944,-108.020833,162254
KDCB,89.500000,,,,0.055,43.354444,-124.241667,176687
KDCJ,91.500000,,,,0.75,31.861944,-103.078056,171696
KDDF,88.100000,,,,0.185,33.539667,-116.025528,171299
KDDM,100.500000,,,,0.0,33.581389,-95.055278,198774
KDDV-FM,101.500000,,,,100.0,43.999167,-105.254167,165980
KDER,99.300000,,,,50.0,29.540278,-101.1225,191569
KDJA,94.900000,,,,2.4,44.198056,-120.977778,190435
KDJC,88.100000,,,,0.0,45.123889,-117.78,121839
KDJF,93.500000,,,,15.5,64.879167,-148.053889,164233
KDJJ,94.100000,,,,45.0,39.912778,-118.921667,190451
KDJL,99.500000,,,,25.0,42.909167,-100.564444,191571
KDKO,89.500000,,,,0.8,43.083056,-98.473056,172838
KDKY,91.500000,,,,0.1,30.208611,-103.252778,171963
KDLC,97.700000,,,,100.0,29.346389,-90.830278,189558
KDLG-FM,89.900000,,,,0.25,59.043611,-158.463056,171933
KDMB,88.700000,,,,4.6,47.318833,-119.705083,174689
KDMM,103.100000,,,,2.8,34.310833,-114.168889,198737
KDNT,94.500000,,,,0.1,31.584508,-95.851286,198814
KDOB,91.500000,,,,0.43,42.123056,-124.298889,172931
KDOC-FM,103.900000,,,,1.3,44.040278,-92.218056,162261
KDOE,102.300000,,,,3.3,34.224444,-95.625,164291
KDOX,91.300000,,,,0.165,37.411667,-118.185278,173521
KDPI,88.500000,,,,0.105,43.661389,-114.401944,172637
KDPO,91.900000,,,,2.0,42.864722,-124.448333,173276
KDPX,101.300000,,,,13.5,34.165,-91.839444,190418
KDRG,91.900000,,,,0.0,66.075497,-162.722392,180900
KDRL,103.300000,,,,50.0,35.5775,-100.952222,181071
KDRX,106.900000,,,,6.0,29.405833,-100.661389,165967
KDSP-FM,99.900000,,,,0.0,33.475,-101.0,198756
KDTR,103.300000,,,,1.84,46.801667,-113.972778,162324
KDUP,88.100000,,,,0.27,41.636944,-120.091111,172273
KDVC,98.300000,,,,9.5,38.955278,-92.272222,198800
KDWD,99.100000,,,,4.2,39.708333,-92.958611,171000
KDXA,91.300000,,,,0.006,42.73025,-123.383222,176394
KDXN,105.700000,,,,100.0,46.948056,-102.990278,169897
KDXT,97.900000,,,,10.0,46.510278,-113.98,166089
KEAL,106.500000,,,,6.0,35.094167,-119.461111,164120
KEAU,104.700000,,,,1.15,40.922222,-115.848889,189486
KEDC,88.500000,,,,2.5,30.770167,-96.5425,172341
KEDI,98.300000,,,,0.21,60.782861,-161.840583,189526
KEDV,90.300000,,,,50.0,28.950833,-100.62,172635
KEEA,90.100000,,,,1.0,45.472778,-98.504444,122026
KEFL,91.500000,,,,2.2,40.122194,-92.827278,171939
KEFS,89.500000,,,,0.165,45.123889,-117.78,122934
KEGE,101.700000,,,,0.53,39.946111,-121.721389,164155
KEGT,106.500000,,,,6.0,35.771944,-120.6625,189477
KEHM,99.300000,,,,0.0,32.439722,-100.958056,189482
KEJA,91.700000,,,,3.0,33.476111,-93.273056,171670
KEKS,103.100000,,,,2.45,38.293611,-96.2175,166016
KELC,91.900000,,,,0.1,38.524056,-118.621667,176372
KELT,102.500000,,,,0.1,28.041944,-99.352778,170502
KELU,90.300000,,,,14.0,34.439167,-103.206111,122198
KEMP,99.300000,,,,17.0,34.184444,-111.337778,164203
KENC,90.700000,,,,0.2,40.360556,-105.52,175208
KENE,88.100000,,,,1.25,36.683056,-104.413889,174721
KENG,88.500000,,,,0.071,33.404722,-105.781111,174172
KENM,88.900000,,,,3.0,35.134167,-103.698056,174720
KENU,88.500000,,,,0.24,36.705556,-103.876667,174722
KERG,104.700000,,,,6.0,26.434444,-98.894722,183362
KESY,91.900000,,,,0.82,44.765833,-117.880278,172884
KETE,99.700000,,,,2.3,33.331,-95.314778,166035
KETP,88.700000,,,,0.1,45.399444,-117.387778,174467
KETT,99.300000,,,,0.95,41.839722,-103.826389,164137
KEUB,93.300000,,,,6.7,45.953056,-123.937222,191527
KEUC,104.900000,,,,0.1,36.386667,-98.246389,191538
KEUW,89.900000,,,,6.0,42.076389,-104.191111,173683
KEVK-FM,105.100000,,,,0.0,30.055,-102.583611,198750
KEVM-FM,107.300000,,,,0.0,30.4575,-99.768611,198753
KEVQ-FM,100.700000,,,,0.0,33.691667,-101.108611,198751
KEWP,103.500000,,,,6.0,29.205833,-99.7925,183324
KEXL,97.500000,,,,50.0,42.321389,-97.427778,170494
KEXS-FM,106.100000,,,,50.0,40.420833,-94.722222,165948
KEYK,89.300000,,,,0.0,38.122222,-92.678333,175582
KEYP,91.900000,,,,0.1,39.601981,-110.804286,174150
KEYR,91.700000,,,,0.85,38.385556,-112.332222,176207
KEYV,91.700000,,,,0.91,40.537778,-109.699167,176208
KEZB,90.700000,,,,0.15,38.456389,-112.657778,175866
KEZF,88.700000,,,,0.61,35.252222,-107.595833,172582
KEZZ,94.100000,,,,1.75,40.3675,-106.691111,165959
KFAH,99.100000,,,,3.3,31.281944,-93.977778,170971
KFBR,91.500000,,,,0.6,40.651861,-119.356861,175807
KFCV,90.500000,,,,3.3,37.833667,-92.016389,173766
KFDJ,90.500000,,,,0.45,37.271111,-112.650556,177220
KFEZ,101.300000,,,,95.5,37.788889,-104.486667,164170
KFFR,88.300000,,,,10.0,40.006389,-105.793056,175799
KFGM-FM,101.500000,,,,3.4,46.802222,-113.9725,166027
KFGR,88.100000,,,,0.6,44.585278,-108.850278,174192
KFJS,90.100000,,,,1.35,41.203611,-100.732778,174842
KFLF,91.300000,,,,1.0,48.068611,-114.038889,173303
KFLX,92.500000,,,,1.5,34.714722,-112.525833,171022
KFMR,97.300000,,,,1.7,32.889444,-109.323056,198760
KFOM,88.700000,,,,0.1,40.958611,-95.082778,172619
KFPS,88.100000,,,,0.09,54.856667,-163.412222,203577
KFSZ,106.100000,,,,4.3,34.968333,-111.508056,164209
KFXE,96.500000,,,,8.4,30.117778,-99.194444,164252
KFXH,88.700000,,,,2.15,34.6675,-97.946972,175816
KFYN-FM,104.300000,,,,50.0,33.757306,-95.537611,183373
KFZE,104.300000,,,,4.0,42.844167,-109.924444,166004
KGBL,100.900000,,,,100.0,37.997778,-100.906944,170960
KGCD,90.300000,,,,0.0,40.053611,-102.225556,172509
KGCM,90.900000,,,,0.001,45.956944,-111.370444,122022
KGDL,92.100000,,,,19.0,32.634722,-100.130833,171016
KGFJ,88.100000,,,,0.73,47.159444,-111.010833,172645
KGFN,89.100000,,,,0.15,37.726725,-117.224422,175110
KGFZ,97.700000,,,,1.8,31.365278,-94.766389,164167
KGGB,96.300000,,,,6.0,29.045278,-97.406389,164175
KGGN,102.500000,,,,4.3,33.590556,-116.939722,184593
KGHE,89.100000,,,,0.255,46.958611,-123.588333,176823
KGHI,91.100000,,,,1.9,46.919722,-123.953889,177202
KGHT,100.500000,,,,6.0,39.315556,-106.958889,162386
KGHW,90.700000,,,,0.125,44.708889,-100.072472,177344
